s_q,d,true_count,est_count,latency
LIN,0,10873,10873.0,9.202957153320312e-05
SLAT,0,10822,10822.0,9.226799011230469e-05
TOM,0,11150,11150.0,8.797645568847656e-05
ASH,0,10969,10969.0,8.678436279296875e-05
MIDNIGHT,0,11011,11011.0,0.00010752677917480469
BURLY,0,10969,10969.0,8.940696716308594e-05
UAMARINE,0,10727,10727.0,0.0001125335693359375
BURL,0,10969,10969.0,8.845329284667969e-05
DLE,0,10947,10947.0,8.726119995117188e-05
OYA,0,10756,10756.0,8.678436279296875e-05
RES,0,10737,10737.0,8.511543273925781e-05
L,0,401771,179521.0,8.630752563476562e-05
