s_q, ground_truth, estimate, latency
PAPAY,10912.0,10912.0,3.0994415283203125e-05
ORN,21212.0,21212.0,5.0067901611328125e-06
FO,21263.0,21263.0,3.814697265625e-06
DNIGH,11011.0,11011.0,3.0517578125e-05
SY,10971.0,10971.0,4.5299530029296875e-06
VENDER,10938.0,10938.0,4.2438507080078125e-05
LDE,10842.0,10842.0,4.5299530029296875e-06
HARTREUS,10861.0,10861.0,6.413459777832031e-05
MOCCAS,10825.0,10824.0,4.267692565917969e-05
SMOK,10736.0,10736.0,1.8596649169921875e-05
B,102253.0,102253.0,3.814697265625e-06
NISHED,10838.0,10838.0,4.1484832763671875e-05
LYWO,10969.0,10969.0,1.811981201171875e-05
PRI,10825.0,10825.0,5.245208740234375e-06
BEIG,10876.0,10876.0,1.8596649169921875e-05
LIN,10873.0,10873.0,5.0067901611328125e-06
SLAT,10822.0,10822.0,1.811981201171875e-05
TOM,11150.0,11150.0,4.5299530029296875e-06
ASH,10969.0,10969.0,4.291534423828125e-06
MIDNIGHT,11011.0,11011.0,6.628036499023438e-05
BURLY,10969.0,10969.0,3.0517578125e-05
UAMARINE,10727.0,10726.0,6.461143493652344e-05
BURL,10969.0,10969.0,1.811981201171875e-05
DLE,10947.0,10947.0,5.0067901611328125e-06
OYA,10756.0,10756.0,4.5299530029296875e-06
RES,10737.0,10737.0,4.291534423828125e-06
L,179521.0,179521.0,3.5762786865234375e-06
